"Sets","variable","value","station_id"
"Test set","Random Walk RMSE","0.0804464484689425","275"
"Training set","Neural Networks RMSE","0.00966515747303912","275"
"Test set","Neural Networks RMSE","0.0843201041452485","275"
"Training set","Arima RMSE","0.0141414078651421","276"
"Test set","Arima RMSE","0.0150295765591077","276"
"Training set","Random Walk RMSE","0.0140780533981924","276"
"Test set","Random Walk RMSE","0.0158162588302088","276"
"Training set","Neural Networks RMSE","0.0141593800340191","276"
"Test set","Neural Networks RMSE","0.0150554530541816","276"
"Training set","Arima RMSE","0.0109828155309486","278"
"Test set","Arima RMSE","1.32386591766478e-11","278"
"Training set","Random Walk RMSE","0.0109593261394374","278"
"Test set","Random Walk RMSE","0.0518704425941393","278"
"Training set","Neural Networks RMSE","0.0111028110458553","278"
"Test set","Neural Networks RMSE","0","278"
"Training set","Arima RMSE","0.0128121731952873","279"
"Test set","Arima RMSE","0.127544319809302","279"
"Training set","Random Walk RMSE","0.0127925220469212","279"
"Test set","Random Walk RMSE","0.127877526799612","279"
"Training set","Neural Networks RMSE","0.0128246329756151","279"
"Test set","Neural Networks RMSE","0.127546086240333","279"
"Training set","Arima RMSE","0.0129324395813294","280"
"Test set","Arima RMSE","0.0924822456160958","280"
"Training set","Random Walk RMSE","0.0170495618455507","280"
"Test set","Random Walk RMSE","0.0449903803987083","280"
"Training set","Neural Networks RMSE","0.0129363681279018","280"
"Test set","Neural Networks RMSE","0.0924668665053492","280"
"Training set","Arima RMSE","0.0119178192214665","281"
"Test set","Arima RMSE","0.0229493643268447","281"
"Training set","Random Walk RMSE","0.0117551766416832","281"
"Test set","Random Walk RMSE","0.0220734229652797","281"
"Training set","Neural Networks RMSE","0.0120076696631026","281"
"Test set","Neural Networks RMSE","0.0229492610300451","281"
"Training set","Arima RMSE","0.00831830859274136","282"
"Test set","Arima RMSE","0.06586300796245","282"
"Training set","Random Walk RMSE","0.00831123888333922","282"
"Test set","Random Walk RMSE","0.0666441194142846","282"
"Training set","Neural Networks RMSE","0.00831899091638611","282"
"Test set","Neural Networks RMSE","0.0692899516069248","282"
"Training set","Arima RMSE","0.0147454382473489","284"
"Test set","Arima RMSE","0.0395036128337321","284"
"Training set","Random Walk RMSE","0.0316550310279244","284"
"Test set","Random Walk RMSE","0.351023972783217","284"
"Training set","Neural Networks RMSE","0.0147463348652721","284"
"Test set","Neural Networks RMSE","0.0395462819866193","284"
"Training set","Arima RMSE","0.013884833354615","285"
"Test set","Arima RMSE","0.0677574117550533","285"
"Training set","Random Walk RMSE","0.0210536764685883","285"
"Test set","Random Walk RMSE","0.259755276666235","285"
"Training set","Neural Networks RMSE","0.0138942112301003","285"
"Test set","Neural Networks RMSE","0.0677574117550551","285"
"Training set","Arima RMSE","0.00819280963191835","289"
"Test set","Arima RMSE","0.0435073570794289","289"
"Training set","Random Walk RMSE","0.00797639049945894","289"
"Test set","Random Walk RMSE","0.0445479016287557","289"
"Training set","Neural Networks RMSE","0.00823617856644103","289"
"Test set","Neural Networks RMSE","0.0435073570794289","289"
"Training set","Arima RMSE","0.0140732414745975","290"
"Test set","Arima RMSE","0.0337567244956762","290"
"Training set","Random Walk RMSE","0.0140433407420565","290"
"Test set","Random Walk RMSE","0.0535479743057115","290"
"Training set","Neural Networks RMSE","0.0140740983138924","290"
"Test set","Neural Networks RMSE","0.0337567244956055","290"
"Training set","Arima RMSE","0.0143002782695357","291"
"Test set","Arima RMSE","0.0214465332700524","291"
"Training set","Random Walk RMSE","0.0142380463920394","291"
"Test set","Random Walk RMSE","0.0530588663243611","291"
"Training set","Neural Networks RMSE","0.014362334788356","291"
"Test set","Neural Networks RMSE","0.046992907266239","291"
"Training set","Arima RMSE","0.0138621967218513","293"
"Test set","Arima RMSE","0.064518582654611","293"
"Training set","Random Walk RMSE","0.0138184370737077","293"
"Test set","Random Walk RMSE","0.0562668917975815","293"
"Training set","Neural Networks RMSE","0.0139289587032185","293"
"Test set","Neural Networks RMSE","0.0601192570552109","293"
"Training set","Arima RMSE","0.0043780390338651","294"
"Test set","Arima RMSE","0.0499996990466485","294"
"Training set","Random Walk RMSE","0.0262412162682852","294"
"Test set","Random Walk RMSE","0.0442739488424507","294"
"Training set","Neural Networks RMSE","0.0138140748834021","294"
"Test set","Neural Networks RMSE","0.0485659775941343","294"
"Training set","Arima RMSE","0.0150297205940174","295"
"Test set","Arima RMSE","0.242874243199765","295"
"Training set","Random Walk RMSE","0.0205540589725531","295"
"Test set","Random Walk RMSE","0.12521580100989","295"
"Training set","Neural Networks RMSE","0.0150308024853648","295"
"Test set","Neural Networks RMSE","0.238357370582726","295"
"Training set","Arima RMSE","0.0105154102411209","296"
"Test set","Arima RMSE","0.0522839257796323","296"
"Training set","Random Walk RMSE","0.0104537246385163","296"
"Test set","Random Walk RMSE","0.0484041502273765","296"
"Training set","Neural Networks RMSE","0.0105161211126986","296"
"Test set","Neural Networks RMSE","0.0498296417534675","296"
"Training set","Arima RMSE","0.018030880623442","297"
"Test set","Arima RMSE","0.487486297041678","297"
"Training set","Random Walk RMSE","0.0179548270135326","297"
"Test set","Random Walk RMSE","0.490080949442591","297"
"Training set","Neural Networks RMSE","0.0180647295720733","297"
"Test set","Neural Networks RMSE","0.487486297041654","297"
"Training set","Arima RMSE","0.00536874366356398","298"
"Test set","Arima RMSE","0.0237603901761697","298"
"Training set","Random Walk RMSE","0.00515638310317647","298"
"Test set","Random Walk RMSE","0.0258927009255192","298"
"Training set","Neural Networks RMSE","0.00545283582392927","298"
"Test set","Neural Networks RMSE","0.0237618570473803","298"
"Training set","Arima RMSE","0.012610421750798","300"
"Test set","Arima RMSE","0.0211904651358133","300"
"Training set","Random Walk RMSE","0.0274370802706927","300"
